Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
8545.0,Mexico,Tepalcatepec,44.0,Good,1.0,Good,27.0,Good,0.0,Good,44.0,L0,134.2628585,-7.245395262,L0
8546.0,Mexico,Tepalcingo,68.0,Moderate,1.0,Good,32.0,Good,1.0,Good,68.0,L1,175.8127717,5.093690974,L1
8547.0,Mexico,Tepeapulco,50.0,Hazardous,1.0,Good,25.0,Good,6.0,Good,50.0,L5,130.39634565,1.111852383,L5
8548.0,Brazil,Teresopolis,51.0,Moderate,1.0,Good,24.0,Good,1.0,Good,51.0,L1,128.1492276,-0.40289874,L1
8549.0,United States of America,The Hammocks,34.0,Good,1.0,,34.0,Good,1.0,Good,28.0,L0,86.88324114,-7.602079866,L0
8550.0,Japan,Toki,97.0,Moderate,1.0,,31.0,Good,1.0,Good,97.0,L1,234.2099236,15.65051107,L1
8551.0,United States of America,Tomball,29.0,Good,1.0,Good,21.0,Good,2.0,Good,29.0,L0,70.07671987,-5.314574435,L0
8552.0,Japan,Tomobe,60.0,Moderate,1.0,Good,19.0,Good,1.0,Good,60.0,L1,160.2698139,1.979993827,L1
8553.0,United States of America,Toms River,48.0,Good,1.0,,48.0,Good,1.0,Good,42.0,L0,125.0756018,-5.158692962,L0
8554.0,Romania,Topoloveni,51.0,Moderate,1.0,Good,45.0,Good,0.0,Good,51.0,L1,141.9293862,-0.378339042,L1
8555.0,United States of America,Totowa,52.0,Moderate,1.0,Good,45.0,Good,2.0,Good,52.0,L1,136.8125395,12.55910891,L1
8556.0,United States of America,Townsend,39.0,Good,1.0,,34.0,Good,1.0,Good,39.0,L0,98.97546268,5.287383676,L0
8557.0,Russian Federation,Troitskoye,46.0,Good,1.0,Good,31.0,Good,0.0,Good,18.0,L0,141.4829686,0.181845018,L0
8558.0,Netherlands,Tubbergen,36.0,Good,1.0,Good,36.0,Good,0.0,Good,29.0,L0,94.06096431,3.629132602,L0
8559.0,United States of America,Tucson,80.0,Moderate,1.0,Good,20.0,Good,6.0,Good,80.0,L1,216.6300097,0.997204717,L1
8560.0,Venezuela (Bolivarian Republic of),Tucupita,43.0,Good,1.0,Good,17.0,Good,0.0,Good,43.0,L0,108.4879079,1.537897101,L0
8561.0,Mexico,Tula De Allende,50.0,Unhealthy for Sensitive Groups,1.0,Good,32.0,Good,2.0,Good,50.0,L2,130.39634565,7.519343595,L2
8562.0,India,Tumsar,50.0,Unhealthy,1.0,Good,44.0,Good,7.0,Good,50.0,L3,130.39634565,5.74451005,L3
8563.0,Pakistan,Ubauro,50.0,Unhealthy,1.0,Good,13.0,Good,1.0,Good,50.0,L3,130.39634565,6.69995737,L3
8564.0,Russian Federation,Uchkeken,34.0,Good,1.0,Good,34.0,Good,1.0,Good,31.0,L0,66.45517077,4.982477488,L0
8565.0,India,Udhampur,50.0,Unhealthy,1.0,,31.0,Good,2.0,Good,50.0,L3,130.39634565,5.769271764,L3
8566.0,Russian Federation,Udomlya,29.0,Good,1.0,Good,29.0,Good,0.0,Good,12.0,L0,89.80460048,0.120370052,L0
8567.0,Netherlands,Uithoorn,39.0,Good,1.0,Good,39.0,Good,0.0,Good,30.0,L0,107.7748083,1.174083217,L0
8568.0,Mexico,Uruapan,44.0,Good,1.0,,28.0,Good,0.0,Good,44.0,L0,119.4583888,7.295926258,L0
8569.0,Russian Federation,Ust Donetskiy,47.0,Good,1.0,Good,47.0,Good,0.0,Good,26.0,L0,105.2774307,7.712083525,L0
8570.0,Democratic Republic of the Congo,Uvira,50.0,Good,1.0,Good,31.0,Good,0.0,Good,50.0,L0,122.7954493,-1.888971656,L0
8571.0,Russian Federation,Uzhur 4,39.0,Good,1.0,Good,26.0,Good,4.0,Good,39.0,L0,106.6135763,2.495053328,L0
8572.0,Brazil,Vacaria,14.0,Good,1.0,Good,13.0,Good,0.0,Good,14.0,L0,44.10383277,0.035390654,L0
8573.0,Russian Federation,Vakhrushi,29.0,Good,1.0,Good,28.0,Good,2.0,Good,29.0,L0,89.6466678,7.799762149,L0
8574.0,Chile,Valdivia,23.0,Good,1.0,Good,21.0,Good,1.0,Good,23.0,L0,61.05133245,1.443984801,L0
8575.0,United States of America,Valdosta,86.0,Moderate,1.0,Good,31.0,Moderate,0.0,Good,24.0,L0,224.0582409,14.80461909,L0
