Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2
11085.0,Portugal,Carregado,29.0,Good,1.0,Good,29.0,Good,4.0,Good,26.0,L0,3.810854236
11086.0,Brazil,Cascavel,23.0,Good,1.0,Good,13.0,Good,1.0,Good,23.0,L0,-5.43223819
11087.0,United States of America,Casper,96.0,Moderate,1.0,Good,24.0,Good,1.0,Good,96.0,L1,17.18530266
11088.0,Panama,Cativa,69.0,Moderate,1.0,Good,22.0,Good,1.0,Good,69.0,L1,6.94749112
11089.0,United States of America,Cedar Hill,56.0,Moderate,1.0,,27.0,Good,5.0,Good,56.0,L1,7.690652247
11090.0,Indonesia,Ceper,67.0,Moderate,1.0,Good,38.0,Good,1.0,Good,67.0,L1,7.693851415
11091.0,India,Chandvad,50.0,Unhealthy for Sensitive Groups,1.0,Good,33.0,Good,0.0,Good,50.0,L2,0.332051597
11092.0,Germany,Biedenkopf,79.0,Moderate,1.0,Good,31.0,Good,6.0,Good,79.0,L1,4.939847537
11093.0,Turkey,Bilecik,56.0,Moderate,1.0,Good,36.0,Good,0.0,Good,56.0,L1,4.351823157
11094.0,Ukraine,Bilyayivka,44.0,Good,1.0,Good,44.0,Good,0.0,Good,10.0,L0,13.51944232
11095.0,Chad,Massaguet,110.0,Unhealthy for Sensitive Groups,1.0,Good,33.0,Good,1.0,Good,110.0,L2,-0.185458993
11096.0,United States of America,Mastic Beach,37.0,Good,1.0,Good,22.0,Good,1.0,Good,37.0,L0,0.157080551
11097.0,United Republic of Tanzania,Masumbwe,24.0,Good,1.0,Good,17.0,Good,0.0,Good,24.0,L0,0.185344469
11098.0,Italy,Matera,43.0,Good,1.0,Good,43.0,Good,1.0,Good,22.0,L0,0.431766704
11099.0,Indonesia,Maumere,60.0,Moderate,1.0,Good,26.0,Good,0.0,Good,60.0,L1,-3.494632273
11100.0,France,Meaux,66.0,Moderate,1.0,Good,30.0,Good,3.0,Good,66.0,L1,-9.723522602
11101.0,Italy,Meda,67.0,Moderate,1.0,Good,36.0,Good,4.0,Good,67.0,L1,-5.334222328
11102.0,United States of America,Medfield,47.0,Good,1.0,Good,27.0,Good,1.0,Good,47.0,L0,9.295149663
11103.0,Brazil,Mendes,50.0,Unhealthy,1.0,Good,1.0,Good,1.0,Good,50.0,L3,16.3589055
11104.0,United States of America,Mesa,67.0,Moderate,1.0,Good,7.0,Good,1.0,Good,67.0,L1,7.977694581
11105.0,Germany,Lindlar,61.0,Moderate,1.0,Good,34.0,Good,4.0,Good,61.0,L1,0.88743202
11106.0,Germany,Lobau,74.0,Moderate,1.0,,39.0,Good,2.0,Good,74.0,L1,3.308321699
11107.0,Italy,Lodi,62.0,Moderate,1.0,Good,42.0,Good,2.0,Good,62.0,L1,11.8657875
11108.0,France,Lognes,80.0,Moderate,1.0,Good,18.0,Good,1.0,Good,80.0,L1,13.36361303
11109.0,Poland,Lomza,31.0,Good,1.0,,31.0,Good,0.0,Good,21.0,L0,8.509860663
11110.0,China,Longjing,69.0,Moderate,1.0,Good,48.0,Good,0.0,Good,69.0,L1,6.612088936
11111.0,Germany,Lorch,53.0,Moderate,1.0,Good,37.0,Good,4.0,Good,53.0,L1,6.389847138
11112.0,United States of America,Loveland,61.0,Moderate,1.0,Good,5.0,Good,1.0,Good,61.0,L1,7.453191493
11113.0,Angola,Lucapa,50.0,Unhealthy,1.0,Good,33.0,Good,6.0,Good,50.0,L3,10.16536603
11114.0,Switzerland,Lugano,62.0,Moderate,1.0,Good,33.0,Good,1.0,Good,62.0,L1,1.778150953
11115.0,United Republic of Tanzania,Madimba,24.0,Good,1.0,Good,23.0,Good,0.0,Good,24.0,L0,7.611839727
11116.0,Brazil,Mage,50.0,Very Unhealthy,1.0,Good,8.0,Good,1.0,Good,50.0,L4,11.72186226
11117.0,India,Mairwa,50.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Moderate,2.0,Good,50.0,L2,14.83679139
